City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Matagalpa,NI,79.61,scattered clouds,12.9256,-85.9175,Hotel ArCes
1,Hithadhoo,MV,79.77,broken clouds,-0.6,73.0833,Pebbles Inn
7,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
15,Mahebourg,MU,71.89,few clouds,-20.4081,57.7,Grand Bel Air
26,Port Loko,SL,75.33,overcast clouds,8.7667,-12.7833,MJ Motel
28,Bani,DO,78.85,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
32,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Hotel SkylineInn
33,Alta Floresta,BR,70.47,overcast clouds,-9.8756,-56.0861,Villas Hotel
36,Beira,MZ,79.18,broken clouds,-19.8436,34.8389,Hotel Savoy
43,Formosa,AR,88.97,few clouds,-26.1775,-58.1781,Hotel Hostal del Rey
45,Chuy,UY,70.86,clear sky,-33.6971,-53.4616,Alerces
47,Sechura,PE,73.83,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
51,Buchanan,LR,78.57,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
61,Barranca,PE,70.41,overcast clouds,-10.75,-77.7667,Emperador
64,Ler,SS,74.17,scattered clouds,8.3018,30.1418,Green Hotel
67,Bull Savanna,JM,73.56,clear sky,17.8868,-77.5902,Junction Guest House
70,Touros,BR,79.79,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
72,La Macarena,CO,81.01,broken clouds,2.1837,-73.7849,Muñoz
84,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Tara-Mé
85,San Alberto,CO,77.86,few clouds,7.7611,-73.3922,El Rubio
88,Cidreira,BR,71.65,clear sky,-30.1811,-50.2056,Hotel Castelo
92,Ponta Do Sol,PT,70.0,light rain,32.6667,-17.1,Estalagem Ponta do Sol
99,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
104,Prado,BR,76.23,broken clouds,-17.3411,-39.2208,Pousada Recanto do Prado
106,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
114,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
120,Mushie,CD,72.16,overcast clouds,-3.0167,16.9,hôtel Mushi
125,Mabaruma,GY,72.84,broken clouds,8.2,-59.7833,Monty Brooms Hotel
126,Ciudad Bolivar,VE,79.66,overcast clouds,8.1222,-63.5497,Paoca
129,Savannah Bight,HN,80.24,light rain,16.45,-85.85,La Giralda
133,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Tropic Hotel
134,Takoradi,GH,79.03,few clouds,4.8845,-1.7554,Hillcrest
135,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
138,Saint-Leu,RE,74.26,few clouds,-21.15,55.2833,Iloha Seaview Hôtel
142,Olavarria,AR,74.03,clear sky,-36.8927,-60.3225,Santa Rosa Hotel
143,Sao Joao Da Barra,BR,75.29,light rain,-21.6403,-41.0511,Pousada Mediterrâneo
157,Mahanoro,MG,72.79,few clouds,-19.9,48.8,Vanilla Bungalow
167,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
170,Salalah,OM,75.29,clear sky,17.0151,54.0924,Muscat International Hotel
171,Itaituba,BR,73.6,overcast clouds,-4.2761,-55.9836,TG Hotel
172,Boffa,GN,79.5,overcast clouds,10.1667,-14.0333,Cité Bagataye
183,Odienne,CI,71.89,overcast clouds,9.51,-7.5692,Hotel Frontière
186,Calabozo,VE,81.0,broken clouds,8.9242,-67.4293,Hotel Plaza Real
202,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Hôtel 6500 CFA
209,Manta,EC,80.38,broken clouds,-0.95,-80.7333,La Gaviota
212,Angoche,MZ,77.36,light rain,-16.2325,39.9086,Hotel Quirimbas
215,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Terra Sur
216,Benguela,AO,77.49,overcast clouds,-12.5763,13.4055,Hotel Moibela
218,Harlingen,US,74.05,clear sky,26.1906,-97.6961,Holiday Inn Express
219,Sao Raimundo Nonato,BR,77.16,scattered clouds,-9.0153,-42.6994,Pousada Zabelê
220,Santa Maria,BR,78.1,clear sky,-29.6842,-53.8069,Hotel Morotin
222,Bengkulu,ID,74.86,overcast clouds,-3.8004,102.2655,Dena Hotel
223,Bondoukou,CI,73.89,clear sky,8.0333,-2.8,Hotel Akakro
233,Matara,LK,71.24,overcast clouds,5.9485,80.5353,Villa Palm Breeze
234,Garissa,KE,75.51,overcast clouds,-0.4536,39.6401,Hiddig Hotel
235,Mogadishu,SO,76.51,overcast clouds,2.0371,45.3438,SYL Hotel
238,Caravelas,BR,75.7,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
