City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Matagalpa,NI,12.9256,-85.9175,79.61,68,40,0.0,scattered clouds
1,Hithadhoo,MV,-0.6,73.0833,79.77,74,66,4.97,broken clouds
2,Ponta Delgada,PT,37.7333,-25.6667,57.92,82,20,26.46,light rain
3,Manavgat,TR,36.7867,31.4431,53.91,59,0,4.34,clear sky
4,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,77,99,24.16,overcast clouds
5,Saint George,US,37.1041,-113.5841,44.44,80,100,1.01,overcast clouds
6,Faya,SA,18.3851,42.4509,43.32,67,15,3.51,few clouds
7,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,39,5.1,scattered clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,74.14,90,100,20.83,light rain
9,Punta Arenas,CL,-53.15,-70.9167,53.71,50,40,29.93,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,66,40,28.77,scattered clouds
11,Narsaq,GL,60.9167,-46.05,1.62,68,0,6.8,clear sky
12,Elblag,PL,54.1522,19.4088,41.97,77,100,19.15,overcast clouds
13,Pisco,PE,-13.7,-76.2167,69.85,83,0,19.57,light rain
14,Port Alfred,ZA,-33.5906,26.891,61.18,83,77,12.39,broken clouds
15,Mahebourg,MU,-20.4081,57.7,71.89,88,20,3.44,few clouds
16,Cape Town,ZA,-33.9258,18.4232,68.38,62,0,14.0,clear sky
17,Hermanus,ZA,-34.4187,19.2345,62.8,74,0,17.05,clear sky
18,Touba,CI,8.2833,-7.6833,73.26,23,95,2.59,overcast clouds
19,Marystown,CA,47.1666,-55.1483,30.78,77,69,6.44,broken clouds
20,Castro,BR,-24.7911,-50.0119,62.73,93,36,7.18,scattered clouds
21,Kiruna,SE,67.8557,20.2251,20.32,93,100,6.91,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,69.82,87,0,13.8,clear sky
23,Balkanabat,TM,39.5108,54.3671,40.01,60,3,7.43,clear sky
24,Abu Zabad,SD,12.35,29.25,65.07,25,21,14.47,few clouds
25,Kuldiga,LV,56.974,21.9572,38.89,89,76,10.13,broken clouds
26,Port Loko,SL,8.7667,-12.7833,75.33,37,92,1.83,overcast clouds
27,Methoni,GR,36.8197,21.7049,53.22,77,32,8.3,scattered clouds
28,Bani,DO,18.2833,-70.3333,78.85,79,6,14.14,clear sky
29,Bredasdorp,ZA,-34.5322,20.0403,63.95,70,16,14.18,few clouds
30,Ribeira Grande,PT,38.5167,-28.7,54.77,68,99,18.01,overcast clouds
31,Upernavik,GL,72.7868,-56.1549,-8.5,87,100,3.94,overcast clouds
32,Souillac,MU,-20.5167,57.5167,71.98,88,20,3.44,few clouds
33,Alta Floresta,BR,-9.8756,-56.0861,70.47,97,97,2.19,overcast clouds
34,Saldanha,ZA,-33.0117,17.9442,60.85,76,0,14.29,clear sky
35,Bondo,CD,3.8146,23.6866,76.08,48,99,2.95,overcast clouds
36,Beira,MZ,-19.8436,34.8389,79.18,71,51,9.69,broken clouds
37,Abu Samrah,SY,35.3029,37.1841,46.29,76,0,5.59,clear sky
38,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,26,0,12.66,clear sky
39,Tulsipur,NP,28.131,82.2973,49.41,66,6,4.63,clear sky
40,Tasiilaq,GL,65.6145,-37.6368,5.16,60,11,6.51,few clouds
41,Lagoa,PT,39.05,-27.9833,52.34,64,100,37.83,light rain
42,Lafia,NG,8.4833,8.5167,70.77,20,37,4.45,scattered clouds
43,Formosa,AR,-26.1775,-58.1781,88.97,37,13,4.61,few clouds
44,Abapo,BO,-18.8333,-63.4667,70.74,56,85,1.72,overcast clouds
45,Chuy,UY,-33.6971,-53.4616,70.86,68,1,13.62,clear sky
46,Port Hawkesbury,CA,45.6169,-61.3485,43.18,94,100,10.0,overcast clouds
47,Sechura,PE,-5.5569,-80.8222,73.83,67,88,15.57,overcast clouds
48,Port Elizabeth,ZA,-33.918,25.5701,66.49,79,0,9.22,clear sky
49,Troitsko-Pechorsk,RU,62.7084,56.1964,-14.15,98,68,4.34,broken clouds
50,Makrana,IN,27.05,74.7167,48.38,61,0,7.34,clear sky
51,Buchanan,LR,5.8808,-10.0467,78.57,84,89,3.0,overcast clouds
52,Ndioum,SN,16.5129,-14.6471,76.69,25,69,10.04,broken clouds
53,Jamestown,US,42.097,-79.2353,58.59,71,20,8.05,few clouds
54,Warrington,GB,53.3925,-2.5802,48.92,87,75,9.22,broken clouds
55,Sarkand,KZ,45.41,79.9186,24.08,78,93,3.91,overcast clouds
56,Dikson,RU,73.5069,80.5464,-7.73,94,94,23.55,overcast clouds
57,Lugovoy,KZ,42.9472,72.7644,29.91,73,100,5.01,overcast clouds
58,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,20,3.44,few clouds
59,Ilulissat,GL,69.2167,-51.1,5.02,78,100,18.41,overcast clouds
60,Honningsvag,NO,70.9821,25.9704,28.15,74,100,28.77,overcast clouds
61,Barranca,PE,-10.75,-77.7667,70.41,80,100,8.39,overcast clouds
62,Moussoro,TD,13.6408,16.4901,62.26,19,2,12.93,clear sky
63,Sliven,BG,42.6858,26.3292,46.76,51,44,2.82,scattered clouds
64,Ler,SS,8.3018,30.1418,74.17,33,37,5.46,scattered clouds
65,Atar,MR,20.5169,-13.0499,66.54,63,56,4.38,broken clouds
66,Albion,US,42.2431,-84.753,45.41,95,100,0.0,moderate rain
67,Bull Savanna,JM,17.8868,-77.5902,73.56,78,0,8.57,clear sky
68,Cabedelo,BR,-6.9811,-34.8339,81.27,79,100,15.61,overcast clouds
69,Yar-Sale,RU,66.8333,70.8333,-25.8,100,65,3.8,broken clouds
70,Touros,BR,-5.1989,-35.4608,79.79,77,98,15.21,overcast clouds
71,Pangnirtung,CA,66.1451,-65.7125,-14.8,84,100,0.0,light snow
72,La Macarena,CO,2.1837,-73.7849,81.01,47,61,4.34,broken clouds
73,Mporokoso,ZM,-9.3727,30.125,59.83,96,100,3.53,overcast clouds
74,Vestmannaeyjar,IS,63.4427,-20.2734,20.17,56,17,10.07,few clouds
75,Ancud,CL,-41.8697,-73.8203,56.5,85,6,8.16,clear sky
76,Kinsale,IE,51.7075,-8.5306,47.57,93,75,6.91,light rain
77,Nanortalik,GL,60.1432,-45.2371,16.36,75,49,15.14,scattered clouds
78,Luderitz,NA,-26.6481,15.1594,71.4,48,0,15.26,clear sky
79,Kuryk,KZ,43.2,51.65,42.35,88,76,13.44,broken clouds
80,Grindavik,IS,63.8424,-22.4338,16.27,53,0,14.97,clear sky
81,Beloha,MG,-25.1667,45.05,72.39,91,14,7.67,few clouds
82,Bogorodskoye,RU,56.55,37.8833,33.04,100,100,3.65,light snow
83,Xai-Xai,MZ,-25.0519,33.6442,73.31,78,100,16.06,overcast clouds
84,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,3.44,scattered clouds
85,San Alberto,CO,7.7611,-73.3922,77.86,79,20,5.48,few clouds
86,Clyde River,CA,70.4692,-68.5914,-18.17,76,75,14.97,light snow
87,East London,ZA,-33.0153,27.9116,65.17,77,98,10.47,overcast clouds
88,Cidreira,BR,-30.1811,-50.2056,71.65,81,0,16.6,clear sky
89,Tarnobrzeg,PL,50.573,21.6794,38.25,90,36,9.44,scattered clouds
90,Olafsvik,IS,64.8945,-23.7142,22.77,69,96,23.53,overcast clouds
91,Walvis Bay,NA,-22.9575,14.5053,65.35,82,16,3.44,few clouds
92,Ponta Do Sol,PT,32.6667,-17.1,70.0,82,69,6.67,light rain
93,Rawson,AR,-43.3002,-65.1023,62.37,47,90,9.66,overcast clouds
94,Odweyne,SO,9.4092,45.064,67.95,67,44,7.27,scattered clouds
95,Kamenka,RU,51.3223,42.7678,33.39,99,100,10.42,light snow
96,Lebu,CL,-37.6167,-73.65,59.38,79,0,21.21,clear sky
97,Kruisfontein,ZA,-34.0033,24.7314,60.89,81,37,4.94,scattered clouds
98,Valparaiso,CL,-33.0393,-71.6273,65.48,92,40,10.36,scattered clouds
99,Maceio,BR,-9.6658,-35.7353,76.44,88,0,5.75,clear sky
100,Razole,IN,16.4833,81.8333,69.64,96,13,2.08,few clouds
101,Mao,ES,39.8885,4.2658,57.76,94,0,5.75,clear sky
102,De Aar,ZA,-30.6497,24.0123,66.06,41,0,12.75,clear sky
103,Paamiut,GL,61.994,-49.6678,8.74,81,7,14.56,clear sky
104,Prado,BR,-17.3411,-39.2208,76.23,87,63,8.14,broken clouds
105,Punta Ocote,HN,15.2,-87.2833,78.6,61,40,0.0,scattered clouds
106,Georgetown,MY,5.4112,100.3354,78.73,88,20,5.75,few clouds
107,Mecca,SA,21.4267,39.8261,67.59,77,41,3.62,scattered clouds
108,Misratah,LY,32.3754,15.0925,62.22,51,0,4.21,clear sky
109,Saint-Augustin,CA,51.226,-58.6502,25.09,97,100,6.4,light snow
110,Codrington,AU,-38.2667,141.9667,71.94,56,3,3.15,clear sky
111,Muana,BR,-1.5283,-49.2167,76.24,88,100,5.59,overcast clouds
112,Salinas,US,36.6777,-121.6555,63.75,82,100,9.22,overcast clouds
113,Mehamn,NO,71.0357,27.8492,24.75,80,75,25.32,broken clouds
114,Pitimbu,BR,-7.4706,-34.8086,81.19,77,99,13.76,overcast clouds
115,Volga,RU,57.9516,38.3879,31.66,99,100,3.8,light snow
116,Kutum,SD,14.2,24.6667,52.38,30,7,6.31,clear sky
117,Torbay,CA,47.6666,-52.7314,25.27,82,40,8.01,scattered clouds
118,Chardara,KZ,41.2547,67.9692,40.12,68,100,9.4,moderate rain
